Tag;English;Polish
//====== Main Menu ======;;
MainMenu_NewGame;New Game;Nowa Gra
MainMenu_LoadGame;Load Game;Wczytaj Grę
MainMenu_Continue;Continue;Kontynuuj
MainMenu_Language;Language;Język
MainMenu_Back;Back;Wróć
MainMenu_PasteSaveDataHere;Paste saved game data here...;Wklej dane zapisanej gry tutaj...
MainMenu_FanMade;This is a fan-made project and is not affiliated with Renegade Game Studios or Hasbro.;Jest to projekt fanowski i nie jest on powiązany z Renegade Game Studios ani Hasbro.
//====== Languages ======;;
English;English;Angielski
Polish;Polish;Polski
//====== Scenario Screen ======;;
Scenario_Subtitle;Choose a Scenario for {{0=...|2|3|4|...}} players:;Wybierz scenariusz dla {{0=...|2|3|4|...}} graczy:
Scenario_TheCostOfDisease;The Cost of Disease;Koszt Choroby
Scenario_TheCostOfDisease_Desc;SCENARIO NOT READY! DO NOT USE TO PLAY!<br /><br />The Yellow Fever had struck the village. Any visit to its somber limits forced the young heirs to keep a cloth handkerchief about their mouth and nostrils to protect themselves from the miasma. This seemed the perfect — if macabre — backdrop in which to advance their father’s dreadful business.;SCENARIUSZ NIE GOTOWY! NIE UŻYWAJ DO GRANIA!<br /><br />Żółta febra zaatakowała wioskę. Każda wizyta w jej ponurych granicach zmuszała młodych spadkobierców do trzymania chustki na ustach i nozdrzach, aby chronić się przed wyziewami. Wydawało się to idealnym — choć makabrycznym — tłem do rozwijania okropnych interesów ich ojca.
Scenario_FearOfTheUnknown;Fear of the Unknown;Strach Przed Nieznanym
