Tag;English_Source;Italian_Source
Gameplay_Lang;English;English
Init_Title;<b>Preparations</b>;<b>Preparazione</b>
IntroImmortality_Title;<b>A Foreword</b>;<b>Introduzione</b>
IntroImmortality_Content;Herein contains a historical account of a peculiar lineage. One that spans multiple generations and by all accounts will continue to fascinate historians for many years to come.<br /><br />I have endeavored to provide as complete a scholarly history as one could provide given the conflicting accounts and whims of hearsay. While many of the details, haunting to the imagination as they may be, stretch the very limits of our human understanding, it is my hope that this text and the accompanying research materials procured will provide evidence as to their truth. The harrowing and potentially supernatural series of events has the capacity to shake the very foundations of the scientific world as we perceive it.<br /><br />With deference to the fellowship that commissioned this explicit work, though I have never met with these generous benefactors, I humbly submit this biographical account in its entirety and swear by the veracity of the contents within.<br /><br />In good health,<br />Dr. Ensign Benwallis;Qui è contenuto il resoconto storico di una discendenza peculiare. Una discendenza che abbraccia più generazioni e che, a quanto pare, continuerà ad affascinare gli storici per molti anni a venire.<br /><br /> Mi sono sforzato di fornirne una storia più completa ed accademica possibile, nonostante i resoconti contrastanti e le dicerie. Sebbene molti dettagli trascendano i limiti della comprensione umana, spero che questo testo e il materiale di ricerca allegato forniscano prove della loro veridicità. Questa straziante e potenzialmente soprannaturale serie di eventi ha il potere di scuotere le fondamenta stesse del mondo scientifico così come lo percepiamo.<br /><br /> Con deferenza nei confronti della comunità che ha commissionato questo lavoro, sebbene non abbia mai incontrato questi generosi benefattori, presento umilmente questo resoconto biografico nella sua interezza e giuro sulla veridicità del suo contenuto.<br /><br /> Nel pieno delle mie capacità mentali e fisiche,<br />Dr. Ensign Benwallis
ScenarioStart_Title;<b>GENERATION I:</b>;<b>PRIMA GENERAZIONE:</b>
ScenarioStart_SubTitle;<b>Yellow Fever</b>;<b>La Febbre Gialla</b>
ScenarioStart_Content;The siblings' arrival to claim their considerable inheritance was met with the indifference of a murky countryside, gray and overcast. The sky was heavy with moisture, but could not crack into a tempest, as if heralding the unfortunate circumstances to which they would soon find themselves.<br /><br />Upon reaching the village, a foul stench tinged the air as teams of horses pulled the charcoal wagons like a silent funeral procession through the muddy streets. Emaciated peasants shielded their faces from the ashen gloom, seemingly unbothered by the display, and went about their somber activities uninterrupted. Several canvas-bound carts lined the edges of the main road, the dismal, gray skin of a human foot sometimes dangling freely from a rip in the fabric.<br /><br />The Yellow Fever had struck the village, and for several weeks any visit to its somber limits forced the young heirs to keep a cloth handkerchief about their mouth and nostrils to protect from the miasma. While they were remiss to admit it, this seemed the perfect macabre backdrop in which to advance their father's dreadful business.<br /><br />While the prevailing mood in the village was one of morose caution, the young entrepreneurs saw potential in these darkened streets. A particularly ambitious individual could lift this gray village into a thriving city. Perhaps even an aristocrat with coin to spare could make a persuasive argument as to its direction.<br /><br />As the kindred surveyed the dreary countryside from behind the iron gates of their estate, they watched the billowing mists move slowly across the valley. The townsfolk stirred as a disquieting laugh echoed down from the hillside. They were excited to begin their father's work in earnest!;L'arrivo dei fratelli a reclamare la loro considerevole eredità fu accolto dall'indifferenza di una campagna oscura, grigia e nuvolosa. Il cielo era carico di umidità, ma non riusciva a trasformarsi in tempesta, come a preannunciare le sfortunate circostanze in cui si sarebbero presto trovati.<br /><br />Al villaggio, un fetore nauseabondo aleggiava nell'aria mentre squadre di cavalli trainavano carri di carbone come un silenzioso corteo funebre attraverso le strade fangose. Carri coperti da teli erano allineati ai bordi della strada principale. Ogni tanto un piede umano dalla pelle grigia e lugubre penzolava liberamente da uno strappo nel tessuto. Alcuni paesani emaciati, apparentemente indifferenti allo spettacolo, si coprivano il volto dalla malinconia cinerea proseguendo nelle loro tristi attività indisturbati.<br /><br />La febbre gialla aveva colpito il villaggio. Per diverse settimane ogni visita ai tetri confini del paese costrinse i giovani eredi a coprirsi la bocca e le narici con un fazzoletto di stoffa per proteggersi dai miasmi. Sebbene i fratelli fossero riluttanti ad ammetterlo, il luogo sembrava il perfetto macabro contesto in cui far progredire l'agghiacciante attività del loro padre.<br /><br /> Nonostante l'umore prevalente nel villaggio fosse di cupa cautela, i giovani imprenditori intravidero del potenziale in quelle strade buie. Un individuo particolarmente ambizioso avrebbe potuto trasformare questo grigio villaggio in una città fiorente. Forse persino un aristocratico con un po' di soldi da parte avrebbe potuto indirizzarlo con un argomentazione convincente.<br /><br />Osservando la campagna desolata da dietro i cancelli di ferro della loro tenuta, gli eredi guardavano le nebbie fluttuanti muoversi lentamente attraverso la valle. Improvvisamente una risata inquietante echeggiò giù dai fianchi della collina agitando gli abitanti del villaggio. I fratelli erano pronti ad iniziare il lavoro del loro padre!
Dubious_Title;<b>Dubious Bartering</b>;<b>Scambi Discutibili</b>
Dubious_Content;Within days of their settling in to their spouse's liking, the local diocese sent a messenger to speak with each of the heirs about their father's charitability towards the diseased — or lack thereof. The bishop entreated them to donate precious time and money to help aid the sick at the church.<br /><br />Having an extensive background in biological studies at the university, the youths proudly offered their scientific services in subduing the epidemic. The bishop was unenthusiastic about the response and pressed them to change their mind — to no avail.;Pochi giorni dopo essersi sistemati secondo i gusti dei loro congiunti, ciascuno degli eredi ricevette un messaggero della diocesi locale mandato per parlare loro della beneficenza del padre verso i malati (o meglio della sua mancanza di ciò). Il vescovo li implorava di donare preziosi soldi e tempo per aiutarlo ad assistere i malati in chiesa.<br /><br /> Avendo una vasta esperienza in studi biologici all'università, i giovani offrirono con orgoglio il loro contributo scientifico per debellare l'epidemia. Il vescovo non fu entusiasta della risposta e fece pressione affinché cambiassero idea, ma invano.
Fever_Title;YELLOW FEVER;LA FEBBRE GIALLA
Fever1_Hospital_Title;BUILD A HOSPITAL;COSTRUIRE UN OSPEDALE
Fever1_Hospital_Content0;The church can no longer handle the influx of the diseased and needs to expand their facilities. ;La chiesa non riesce più a gestire l'afflusso di malati e ha bisogno di ampliare le proprie strutture.
Fever1_Bank_Title;BANK;BANCA
Fever1_Library_Title;LIBRARY;BIBLIOTECA
Fever1_Creepy_Title;<icon=StorybookToken> Attracting Attention;<icon=StorybookToken> Attirare l’Attenzione
Fever1_Sane_Title;<icon=StorybookToken> The Mark of Genius;<icon=StorybookToken> Il Marchio del Genio
Fever1_End_Title;Second round Event - Election Season;Evento Secondo Round – Tornata Elettorale
Fever1_End_Content;Political pandering may require more than simply a silver tongue and a bright smile. Be sure to have some extra capital on hand as the need may arise.;Il successo in politica può richiedere di più di una buona parlantina e un sorriso smagliante. Assicuratevi di avere a disposizione del  capitale extra in quanto potrebbe essere necessario.
Gen1CreepyTrack_Title;Enemy of the People;Nemico del Popolo
Gen1CreepyTrack_Content0;The increasingly eccentric actions of the siblings aroused dark memories from the previous generation, and tense rumors once again circulated throughout the village. However, as these same fears were shared more openly, the news attracted opportunities for those with similar, nefarious intent.;Le azioni sempre più eccentriche dei fratelli risvegliarono memorie oscure dalla generazione precedente e nervose dicerie tornarono a circolare nel villaggio. Queste notizie destarono l'interesse di chi aveva simili malevoli interessi a man mano che queste paure venivano condivise più apertamente.
Gen1CreepyTrackRes_Title;A Seedy Arrangement;Uno Squallido Accordo
Gen1CreepyTrackRes_1_Content;It was unorthodox for {0}, or anyone of that reclusive lineage, to entertain unknown visitors, but something must have piqued their curiosity. A conversation from an evening dinner is noted in a journal entry:<br /><br />"Your estate is simply exquisite," the representative was noted as saying with an unsettling grin. "I am impressed to find a rarefied jewel nestled in such a remote place. But, as you will no doubt agree, it can always use improvement and I would like to offer you support in this." In fact, it was noted that the individual's mannerisms were especially secretive and plotting.<br /><br />The representative from the Fraternity of Hunters offered their support with substantial funds. With the hope" that this kindness would be repaid in the future.;Era insolito per {0}, o per qualsiasi membro di quella discendenza solitaria, intrattenersi con visitatori sconosciuti, ma qualcosa deve aver stuzzicato la sua curiosità. Una conversazione avvenuta durante una cena serale è annotata in un diario:<br /><br />"La vostra tenuta è semplicemente squisita", si legge che il rappresentante abbia detto con un sorriso inquietante. "Sono impressionato nel trovare un gioiello così prezioso incastonato in un luogo così remoto. Ma, come senza dubbio concorderete, può sempre esserci bisogno di migliorie e a tale scopo vorrei offrirvi supporto" Si legge che i modi dell'individuo erano particolarmente riservati ed intriganti.<br /><br />Il rappresentante della Confraternita dei Cacciatori offrì supporto con ingenti fondi nella speranza che questa gentilezza venisse ripagata in futuro.
Gen1CreepyTrackRes_2_Content;It was unorthodox for {0}, or anyone of that reclusive lineage, to entertain unknown visitors, but something must have piqued their curiosity. A conversation from an evening dinner is noted in a journal entry:<br /><br />"Your reputation is known across the region for vehemently challenging the established norms," the representative from the Order of St. Hubertus was noted as saying with a wide grin. They leaned in conspiratorially, an expensive perfume loud enough in fragrance to draw water from the eyes. "From what I hear, you are unwilling to allow the rules of academia to hold your work back from its true excellence. Please, let me admire your experimentation."<br /><br />This was highly controversial! And to be so brazen about it! It was left to the scientist to decide if being granted the opportunity to <b>perform an extra experiment</b> was worth the possible consequences of revealing one's work.;Era insolito per {0}, o per qualsiasi membro di quella discendenza solitaria, intrattenersi con visitatori sconosciuti, ma qualcosa deve aver stuzzicato la sua curiosità. Una conversazione avvenuta durante una cena serale è annotata in un diario:<br /><br /> "La vostra reputazione è nota in tutta la regione per sfidare con veemenza le norme prestabilite", disse il rappresentante dell'Ordine di Sant'Uberto con un ampio ghigno. Si avvicinarono tra di loro con aria cospiratoria e un profumo costoso dalla fragranza così intensa da far venire le lacrime agli occhi aleggiò tra i due. "Da ciò che si dice, non siete disposto a far si che le regole del mondo accademico impediscano al vostro lavoro di raggiungere la sua vera eccellenza. Vi prego, lasciatemi ammirare i vostri esperimenti"<br /><br />Era una cosa molto discutibile da chiedere! E poi essere così sfacciati nel chiederlo! Allo scienziato rimase da decidere se avere l'opportunità di <b>condurre un esperimento extra</b> valesse le possibili conseguenze di rivelare il proprio lavoro.
Gen1CreepyYes_A_Content;The individual produced a banker's cheque from their overcoat and an ink pen from their breast pocket, signing the note with an extravagant signature. Stamped upon the egg-shell cardstock in golden foil was the insignia of a bow and arrow. The man twirled his handlebar mustache with a deep laugh before exiting by carriage.<br /><br />Perhaps it had been a chance meeting, yet for some reason, the scientist suspected a deeper meaning had yet to be revealed.;L'uomo estrasse un assegno bancario dal cappotto e una penna a inchiostro dal taschino, e firmò con una firma stravagante. Sul cartoncino color guscio d'uovo, impresso in lamina d'oro, c'era l'emblema di un arco e una freccia. L'uomo si arriciò i baffi a manubrio emettendo una profonda risata prima di uscire in carrozza. <br /><br />Forse era stato un incontro casuale, eppure, per qualche ragione, lo scienziato sospettava che un significato più profondo della serata dovesse ancora essere svelato.
Gen1CreepyYes_B_Content;The representative was appreciative of {0}'s humble demonstration. As the experiment was performed, they proceeded to take extensive notes which were then sealed up in a leather satchel as they departed soon after. The satchel was conspicuously emblazoned with the insignia of a wolf's head.<br /><br />Perhaps it had been a chance meeting, yet for some reason, the scientist suspected a deeper meaning had yet to be revealed.;Il rappresentante apprezzò l'umile dimostrazione di {0}. Mentre l'esperimento veniva eseguito, prese appunti dettagliati che poi vennero sigillati e messi in una borsa di cuoio prima di partire poco dopo. La borsa era ben marchiata con l'emblema di una testa di lupo.<br /><br />Forse era stato un incontro casuale, eppure, per qualche ragione, lo scienziato sospettava che un significato più profondo della serata dovesse ancora essere svelato.
Gen1CreepyNo_Title;Ridiculous!;Ridicolo!
Gen1CreepyNo_Content;As one might expect, the next few pages of notes in the journal are filled with unflattering jests and laughter at this absolutely half-witted rube and the seedy proposition they had offered. And so {0} waved them away with flippant disregard for wasting their time.<br /><br />An individual has no allegiance but to one's self. They would not be saddled with some unknown, absurd consequence!<br /><br />However, unbeknownst to the semi-virtuous scientist, there was another party that observed this gesture with great interest. Perhaps in time this mystery would be revealed.;Come ci si aspetterebbe, le successive pagine di appunti nel diario sono piene di battute poco lusinghiere e di derisione dirette verso quell'idiota mezzo scemo e la sua squallida proposta. E così {0} lo liquidò con superficialità con irriverente disprezzo per avergli fatto perdere tempo.<br /><br />Un individuo non ha altra fedeltà che verso se stesso. Non si sarebbe certo trovato ad affrontare conseguenze ignote e assurde!<br /><br />Nel frattempo all'insaputa del semi-virtuoso scienziato, un'altra persona stava osservando questa scelta con grande interesse. Forse col tempo questo mistero sarebbe stato svelato.
Gen1SanityTrack_Title;To Quell the Mind;Placare la Mente
Gen1SanityTrack_Content0;Just as a sharpened blade loses some of its steel, so it is the same with a pointed intellect so repeatedly ground. This precise focus upon scientific labors caused the siblings' brains to wander and ache for relief even as a powerful ambition compelled them well beyond their physical tolerances.;Una lama affilata perde parte del suo acciaio, lo stesso avviene con un intelletto acuto e ripetutamente frantumato. Questa concentrazione sui lavori scientifici faceva vagare il cervello dei fratelli e li faceva bramare in cerca di sollievo, mentre una potente ambizione li spingeva ben oltre le loro tolleranze fisiche.
Gen1SanityTrackRes_Title;A Letter From an Old Friend;Una Lettera da un Vecchio Amico
