English Event Title,English Location,English One-sentence Summary,Spanish event title,Spanish Location,Spanish One-sentence Summary,German event title,German location,German one-sentence summary,Portuguese event title,Portuguese location,Portuguese one sentence summary,Italian event title,Italian location,Italian one sentence summary,Chinese event title,chinese location,chinese one sentence summary,japanese event title,Japanese location,Japanese one sentence summary
Fortuitous Assistance,Village House,Two young aristocrats and their spouses moved to a small village in France. ,Asistencia fortuita,Casa de pueblo,Dos jóvenes aristócratas y sus cónyuges se mudaron a un pequeño pueblo en Francia.,Zufällige Hilfe,Dorfhaus,Zwei junge Aristokraten und ihre Ehepartner zogen in ein kleines Dorf in Frankreich.,Assistência fortuita,Casa de aldeia,Dois jovens aristocratas e seus cônjuges se mudaram para uma pequena aldeia na França.,Assistenza fortuita,Casa di villaggio,Due giovani aristocratici e i loro coniugi si sono trasferiti in un piccolo villaggio in Francia.,偶然的帮助,村屋,两个年轻的贵族和他们的配偶搬到了法国的一个小村庄。,偶然の支援,ビレッジハウス,2人の若い貴族と彼らの配偶者はフランスの小さな村に引っ越しました。
A Seedy Arrangement,Dining Room,Player entertained unknown visitors to his estate,Un arreglo sólido,Comedor,El jugador entretuvo a los visitantes desconocidos a su finca.,Ein sen guter Anordnung,Esszimmer,Der Spieler unterhielt unbekannte Besucher in seinem Anwesen,Um arranjo semente,Sala de jantar,Jogador entretido visitantes desconhecidos de sua propriedade,Una disposizione seminata,Sala da pranzo,Giocatore ha intrattenuto visitatori sconosciuti alla sua tenuta,肉织安排,饭厅,球员对他的遗产有名不知名的游客,種の配置,ダイニングルーム,プレイヤーは彼の不動産に不明な訪問者を楽しませました
A Letter From an Old Friend,Post Office,An old letter from an old colleague at university recommended a retreat in Rovinj.,Una carta de un viejo amigo.,Oficina de correos,Una vieja carta de un viejo colega en la universidad recomendó un retiro en Rovinj.,Ein Brief von einem alten Freund,Post,Ein alter Brief von einem alten Kollegen an der Universität empfahl einen Rückzug in Rovinj.,Uma carta de um velho amigo,Correios,Uma velha carta de um antigo colega na universidade recomendou um retiro em Rovinj.,Una lettera da un vecchio amico,Ufficio postale,Una vecchia lettera di un vecchio collega all'università ha raccomandato un ritiro a Rovigno.,来自老朋友的一封信,邮政局,来自大学的老同事的一封旧信件推荐在罗维尼的撤退。,古い友人からの手紙,郵便局,大学の古い同僚からの古い手紙はRovinjの後退を推奨していました。
A Bid for Mayor,Town Hall,All players take all their money into their hands and they then secretly choose any amount to place into their right hand to bid on becoming Mayor,Una oferta para el alcalde,Ayuntamiento,Todos los jugadores toman todo su dinero en sus manos y luego eligen en secreto cualquier cantidad para colocar en su mano derecha para ofertar para convertirse en alcalde.,Ein Gebot für Bürgermeister,Rathaus,Alle Spieler nehmen ihr ganzes Geld in die Hände und sie wählen dann heimlich einen beliebigen Betrag um in ihre rechte Hand zu platzieren um den Bürgermeister zu gewinnen.,Uma oferta para prefeito,Prefeitura,Todos os jogadores levam todo o seu dinheiro em suas mãos e eles então secretamente escolhem qualquer quantia para colocar em sua mão direita para licitar a se tornar prefeito.,Un'offerta per il sindaco,Municipio,Tutti i giocatori prendono tutti i loro soldi nelle loro mani e poi scelgono segretamente qualsiasi importo da mettere nella loro mano destra per fare un'offerta di diventare sindaco,为市长出价,市政厅,所有玩家都把他们的一笔放在他们的手中，然后他们秘密选择任何金额，放入他们的右手以成为市长,市長の入札,町役場,すべての選手たちは彼らの手を彼らの手に全力を尽くして、そして彼らは密かに彼らの右手に入札するために彼らの右手に入札するために密かに選ぶ
Direction of the Town,Town Hall,Mayor receives vp immediately,Dirección de la ciudad,Ayuntamiento,El alcalde recibe VP inmediatamente Richtung der Stadt Rathaus Bürgermeister erhält sofort VP.,Direção da cidade,Prefeitura,Prefeito recebe vp imediatamente,Direzione della città,Municipio,Il sindaco riceve immediatamente VP,镇的方向,市政厅,市长立即收到VP,町の方向,町役場,市長はすぐにVPを受け取ります
Daughters Entrusted,Estate,A former business associate of their mother's requested a daughter be put under each of the houses' charge.,Hijas encargadas,Inmuebles,Un ex asociado de negocios de su madre solicitó que una hija se ponga bajo cada uno de los cargos de las casas.,Töchter anvertraut,Immobilien,Ein ehemaliger Geschäftspartner der gewünschten Mutter der Mutter eine Tochter die unter die Gebühr der Häuser gestellt wird.,Filhas confiadas,Estado,Um ex-associado de negócios de sua mãe solicitou uma filha de cada uma das casas.,Figlie affidate,Tenuta,Un ex associato di business della madre ha chiesto una figlia essere messi sotto ciascuna delle case delle case.,女儿委托,财产,母亲的前商业助理要求将女儿放在每个房屋的费用下。,娘は託されました,エステート,母親の要求された娘の元の事業協会は、各住宅の料金の下に置かれます。
The Cure,Dining Room,Disease was hotly contested as the cure for Yellow Fever. ,La cura,Comedor,La enfermedad fue muy disputada como la cura para la fiebre amarilla.,Die Heilung,Esszimmer,Krankheit war heiß als Heilung für gelbem Fieber bestritten.,A cura,Sala de jantar,A doença era calorosamente contestada como a cura para a febre amarela.,La cura,Sala da pranzo,La malattia è stata calmata contestata come la cura per la febbre gialla.,治愈,饭厅,疾病被黄热病的治愈率热烈竞争。,治療法,ダイニングルーム,病気は黄熱病の治療法として暑く争った。
A Compulsory Visitation,General Hospital,Established in 1865 it was instrumental in changing the public perception of a hospital from a place you go to die to a place of healing.,Una visita obligatoria,Hospital General,Establecida en 1865 fue fundamental para cambiar la percepción pública de un hospital desde un lugar al que vayas a morir a un lugar de curación.,Eine obligatorische Visitation,Allgemeinkrankenhaus,Im Jahr 1865 wurde ergriffen um die öffentliche Wahrnehmung eines Krankenhauses von einem Ort zu ändern, den Sie an einen Ort der Heilung sterben.,Uma visitação obrigatória,Hospital Geral,Fundada em 1865 foi fundamental para mudar a percepção pública de um hospital de um lugar que você vai morrer para um lugar de cura.,Una visita obbligatoria,Policlinico,Fondata nel 1865 è stato determinante nel cambiare la percezione pubblica di un ospedale da un luogo in cui vai a morire in un luogo di guarigione.,一个强制性的探视,综合医院,成立于1865年，它在改变公众对医院的公众看来，从你去死的地方变成一个治疗的地方。,強制的な訪問,総合病院,1865年に設立されたそれはあなたが癒しの場所に死ぬ場所から病院の公の認識を変えるのに役立ちました。
Published,Publishing Company,The findings were deemed underdeveloped by the prevailing medical institutions.,Publicado,Compañia de publicidad,Los hallazgos fueron considerados subdesarrollados por las instituciones médicas prevalecientes.,Veröffentlicht,Verlag,Die Erkenntnisse wurden von den vorherrschenden medizinischen Institutionen unterentwickelt betrachtet.,Publicados,Editora,As descobertas foram consideradas subdesenvolvidas pelas instituições médicas predominantes.,Pubblicato,Casa editrice,I risultati sono stati ritenuti sottosviluppati dalle istituzioni mediche prevalenti.,发表,出版公司,这些调查结果被普遍的医疗机构视为欠发达。,publ,出版会社,調査結果は、一般的な医療機関によって開発されたと考えられた。
Patented,Post Office,Shirking the potential admiration of medical elites Player submitted a patent for this breakthrough in disease prevention. While it ensured a hefty sum for royalties the locals eyed this new development as yet another attempt by aloof eccentrics. The release of this knowledge even had a minor sedative effect on the locals.,Patentado,Oficina de correos,Eludir la admiración potencial de las elites médicas El jugador presentó una patente para este avance en la prevención de enfermedades. Si bien aseguró una suma fuerte para las regalías, los lugareños miraban a este nuevo desarrollo, ya que otro intento por parte de las excéntricas al margen. La liberación de este conocimiento incluso tenía un efecto sedante menor en los lugareños.,Patentiert,Post,Das potentielle Bewunderung von Medical Elites Player legte ein Patent für diesen Durchbruch bei der Prävention von Krankheiten ein. Während es einen kräftigen Summen für Lizenzgebühren sorgte, beauten die Einheimischen diese neue Entwicklung als einen weiteren Versuch, den Eccentrics abzumachen. Die Freigabe dieses Wissens hatte sogar einen geringfügigen beruhigenden Effekt an den Einheimischen.,Patenteado,Correios,Shirking a potencial admiração do jogador de elites médicas submeteu uma patente para este avanço na prevenção de doenças. Embora assegurasse uma soma pesada para royalties, os moradores alimentaram este novo desenvolvimento como mais uma tentativa de excêntricos distantes. A liberação desse conhecimento ainda teve um efeito secundário menor nos moradores locais.,Brevettato,Ufficio postale,Shirking La potenziale ammirazione del giocatore di elite mediche ha presentato un brevetto per questa svolta nella prevenzione delle malattie. Mentre ha assicurato una somma pesante per i royalties, la gente del posto ha guardato questo nuovo sviluppo, ancora un altro tentativo di fuoriuscita di eccentrici. Il rilascio di questa conoscenza ha persino avuto un effetto sedativo minore sulla gente del posto.,专利,邮政局,推卸医疗精英参与者的潜在钦佩提交了疾病预防突破的专利。虽然它确保了对当地人对此新的开发的特许权使用者来说是另一种通过冷漠闪存的尝试。这种知识的释放甚至对当地人造成了较小的镇静影响。,特許,郵便局,医療エリートの賞賛の潜在的な賞賛は、この疾病予防のこの画期的な特許を提出しました。ローチェイトのためのHEWTY SUMを保証している間、地元の人々は脱毛偏見によるもう1つの試みとしてこの新しい開発を目覚めました。この知識の解放は地元の人々に少量の鎮静効果を持っていました。
