//====== Gen1 - Fever ======;
// ---Hub---;
Fever_Bank_Title;BANK
Fever_Library_Title;LIBRARY
Fever_Sane_Title;<icon=StorybookToken> The Mark of Genius
Fever_End_Title;Second round Event - Election Season
Fever_End_Content;Political pandering may require more than simply a silver tongue and a bright smile. Be sure to have some extra capital on hand as the need may arise.
// ---Gen1CreepyTrack---;
Gen1CreepyTrackRes_Title;A Seedy Arrangement
Gen1CreepyTrackRes_1_Content;It was unorthodox for {{0=...|Oliver|James|Olivia|...}}, or anyone of that reclusive lineage, to entertain unknown visitors, but something must have piqued their curiosity. A conversation from an evening dinner is noted in a journal entry:<br /><br />"Your estate is simply exquisite," the representative was noted as saying with an unsettling grin. "I am impressed to find a rarefied jewel nestled in such a remote place. But, as you will no doubt agree, it can always use improvement and I would like to offer you support in this." In fact, it was noted that the individual's mannerisms were especially secretive and plotting.<br /><br />The representative from the Fraternity of Hunters offered their support with substantial funds. With the hope" that this kindness would be repaid in the future.
Gen1CreepyTrackRes_2_Content;It was unorthodox for {{0=...|Oliver|James|Olivia|...}}, or anyone of that reclusive lineage, to entertain unknown visitors, but something must have piqued their curiosity. A conversation from an evening dinner is noted in a journal entry:<br /><br />"Your reputation is known across the region for vehemently challenging the established norms," the representative from the Order of St. Hubertus was noted as saying with a wide grin. They leaned in conspiratorially, an expensive perfume loud enough in fragrance to draw water from the eyes. "From what I hear, you are unwilling to allow the rules of academia to hold your work back from its true excellence. Please, let me admire your experimentation."<br /><br />This was highly controversial! And to be so brazen about it! It was left to the scientist to decide if being granted the opportunity to <b>perform an extra experiment</b> was worth the possible consequences of revealing one's work.
Gen1CreepyYes_Title;Agreed
Gen1CreepyYes_A_Content;The individual produced a banker's cheque from their overcoat and an ink pen from their breast pocket, signing the note with an extravagant signature. Stamped upon the egg-shell cardstock in golden foil was the insignia of a bow and arrow. The man twirled his handlebar mustache with a deep laugh before exiting by carriage.<br /><br />Perhaps it had been a chance meeting, yet for some reason, the scientist suspected a deeper meaning had yet to be revealed.
Gen1CreepyYes_B_Content;The representative was appreciative of {{0=...|Oliver|James|Olivia|...}}'s humble demonstration. As the experiment was performed, they proceeded to take extensive notes which were then sealed up in a leather satchel as they departed soon after. The satchel was conspicuously emblazoned with the insignia of a wolf's head.<br /><br />Perhaps it had been a chance meeting, yet for some reason, the scientist suspected a deeper meaning had yet to be revealed.
Gen1CreepyNo_Title;Ridiculous!
Gen1CreepyNo_Content;As one might expect, the next few pages of notes in the journal are filled with unflattering jests and laughter at this absolutely half-witted rube and the seedy proposition they had offered. And so {{0=...|Oliver|James|Olivia|...}} waved them away with flippant disregard for wasting their time.<br /><br />An individual has no allegiance but to one's self. They would not be saddled with some unknown, absurd consequence!<br /><br />However, unbeknownst to the semi-virtuous scientist, there was another party that observed this gesture with great interest. Perhaps in time this mystery would be revealed.
// ---Gen1SanityTrack---;
Gen1SanityTrack_Title;To Quell the Mind
Gen1SanityTrack_Content;Just as a sharpened blade loses some of its steel, so it is the same with a pointed intellect so repeatedly ground. This precise focus upon scientific labors caused the siblings' brains to wander and ache for relief even as a powerful ambition compelled them well beyond their physical tolerances.
Gen1SanityTrackRes_Title;A Letter From an Old Friend
Gen1SanityTrackRes_0_Content;"You shouldn't drive yourself so hard," the letter stated. "It is unsustainable. For each night you toil away until dawn's light, it takes years from your mind."<br /><br />While the nature of their work ensured that it was performed in solitude, {{0=...|Oliver|James|Olivia|...}}, and their spouse especially, still enjoyed writing letters to the few friends who would receive them. This particular letter from an old colleague at university recommended a specific retreat in Rovinj, where the warm Mediterranean air would rejuvenate the body and quiet the mind. For a small price, they could own a vacation home.<br /><br />While this time away could have a negative affect on their child, it would also allow them to <b>gain knowledge</b> and <b>calm their sanity</b>. Refusal, however, would carry no risk and maybe give them more time to complete their labors.
Gen1SanityYes_Title;Vacation Offer Accepted
